,Total Basic Assistance,Assistance Under Prior Law,Non-Assistance Under Prior Law,"Work, Education, & Training Total",Work Supports,Child Care,Pre-k/Head Start,Financial Education & Development,Refundable Earned Income Tax Credits,Non-Recurrent Short Term Benefits,Supportive Services,Services for Children and Youth,Prevention of Out-of-wedlock Pregnancies,Family Formation and Maintenance Programs,Child Welfare Servises Total,Home Visiting Programs,Administrative Costs,Assessment/Service Provision,Systems,Other,Total Expenditures
RHODE ISLAND,24058002.0,0.0,0.0,9689069.0,1946155.0,19645844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5174375.0,0.0,1857931.0,904809.0,2383227.0,0.0,65659412.0
SOUTH CAROLINA,37210831.0,0.0,0.0,14781529.0,762691.0,0.0,0.0,0.0,0.0,0.0,3619770.0,0.0,0.0,2536458.0,0.0,0.0,17689581.0,22880754.0,4064702.0,6672330.0,110218646.0
SOUTH DAKOTA,8169811.0,5132124.0,0.0,2605312.0,35978.0,0.0,0.0,0.0,0.0,0.0,257439.0,0.0,0.0,0.0,0.0,607327.0,1784814.0,0.0,0.0,0.0,18592805.0
TENNESSEE,41231289.0,0.0,0.0,15808268.0,1087461.0,0.0,0.0,0.0,0.0,0.0,237889.0,0.0,0.0,0.0,0.0,0.0,7652775.0,0.0,645835.0,0.0,66663517.0
TEXAS,2579695.0,82499486.0,216563052.0,74891225.0,2770677.0,0.0,0.0,0.0,0.0,3289270.0,0.0,0.0,6252470.0,9512117.0,0.0,6087760.0,46041375.0,0.0,18847370.0,0.0,469334497.0
UTAH,13826040.0,0.0,0.0,17733386.0,174385.0,1891956.0,5501440.0,1544188.0,0.0,4359808.0,8052866.0,10308882.0,645407.0,3286485.0,3675874.0,1590755.0,8240546.0,500136.0,622313.0,0.0,81954467.0
VERMONT,466327.0,0.0,5508063.0,0.0,0.0,1293793.0,0.0,0.0,19012801.0,829306.0,0.0,0.0,0.0,0.0,0.0,0.0,2778631.0,2995514.0,368716.0,0.0,33253151.0
VIRGINIA,27054755.0,0.0,0.0,10868864.0,765594.0,292771.0,0.0,0.0,371450.0,5269021.0,0.0,0.0,0.0,33597696.0,0.0,0.0,8586135.0,0.0,4178862.0,13387922.0,104373070.0
WASHINGTON,128994602.0,0.0,8227492.0,62563645.0,0.0,52487946.0,0.0,0.0,0.0,200000.0,3531069.0,0.0,0.0,0.0,0.0,0.0,34728334.0,0.0,7364376.0,0.0,298097464.0
WEST VIRGINIA,1251709.0,20731822.0,0.0,461461.0,13685208.0,12350000.0,0.0,0.0,0.0,18241051.0,1168632.0,1455.0,0.0,0.0,16266602.0,0.0,7861377.0,0.0,1981185.0,0.0,94000502.0
WISCONSIN,0.0,0.0,0.0,7017071.0,27112.0,145692570.0,0.0,0.0,36476860.0,640453.0,500000.0,1069445.0,0.0,0.0,4484423.0,812085.0,7468852.0,0.0,2298842.0,322680.0,206810393.0
WYOMING,2761372.0,0.0,0.0,3409213.0,0.0,0.0,1015749.0,0.0,0.0,1767546.0,900570.0,0.0,0.0,0.0,0.0,693878.0,2764297.0,274431.0,431709.0,3003788.0,17022553.0
